Calculation1,School,City,County/State/Country,Measure Names,Measure Values
ALLIANCE COLLINS FAMILY COLRDY054118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Enrl GPA,
ALLIANCE COLLINS FAMILY COLRDY054118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Adm GPA,4.29
ALLIANCE COLLINS FAMILY COLRDY054118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,App GPA,3.825862069
ALLIANCE DR OLGA MOHAN HIGH SC051779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE DR OLGA MOHAN HIGH SC051779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Adm GPA,4.184
ALLIANCE DR OLGA MOHAN HIGH SC051779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,App GPA,3.913636364
ALLIANCE GERTZ-RESSLER HIGH SC053983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE GERTZ-RESSLER HIGH SC053983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Adm GPA,4.272857143
ALLIANCE GERTZ-RESSLER HIGH SC053983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,App GPA,3.936071429
ALLIANCE JUDY BURTON TECH ACAD054088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE JUDY BURTON TECH ACAD054088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,Adm GPA,4.105555556
ALLIANCE JUDY BURTON TECH ACAD054088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,App GPA,3.595357143
ALLIANCE LEICHTMAN-LEVINE ESHS054360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE LEICHTMAN-LEVINE ESHS054360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,Adm GPA,4.231666667
ALLIANCE LEICHTMAN-LEVINE ESHS054360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,App GPA,3.944
ALLIANCE M&E STERN MATH SCI SCH054163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE M&E STERN MATH SCI SCH054163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE M&E STERN MATH SCI SCH054163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,App GPA,4.025454545
ALLIANCE MARGARET M BLOOMFIELD054772,ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,Enrl GPA,
ALLIANCE MARGARET M BLOOMFIELD054772,ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,Adm GPA,4.26
ALLIANCE MARGARET M BLOOMFIELD054772,ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,App GPA,3.916666667
ALLIANCE MIT 6-12 COMPLEX050301,ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,Enrl GPA,4.232
ALLIANCE MIT 6-12 COMPLEX050301,ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,Adm GPA,4.25875
ALLIANCE MIT 6-12 COMPLEX050301,ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,App GPA,3.99
ALLIANCE MORGAN MCKINZIE HS054346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE MORGAN MCKINZIE HS054346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE MORGAN MCKINZIE HS054346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,App GPA,3.86375
ALLIANCE OUCHI-O'DONOVAN 6-12051598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE OUCHI-O'DONOVAN 6-12051598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Adm GPA,4.261666667
ALLIANCE OUCHI-O'DONOVAN 6-12051598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,App GPA,4.078064516
ALLIANCE PATTI & PETER ACADEMY054218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE PATTI & PETER ACADEMY054218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE PATTI & PETER ACADEMY054218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,App GPA,3.886923077
ALLIANCE PIERA BARBAGLIA HSA054361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE PIERA BARBAGLIA HSA054361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE PIERA BARBAGLIA HSA054361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,App GPA,3.645333333
ALLIANCE RENEE & MEYER LUSKIN051663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE RENEE & MEYER LUSKIN051663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE RENEE & MEYER LUSKIN051663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,App GPA,3.723809524
ALLIANCE SMIDT TECHNOLOGY HIGH054636,ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE SMIDT TECHNOLOGY HIGH054636,ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE SMIDT TECHNOLOGY HIGH054636,ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,App GPA,3.914285714
ALLIANCE TED K TAJIMA HIGH SCH054513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE TED K TAJIMA HIGH SCH054513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,Adm GPA,4.168333333
ALLIANCE TED K TAJIMA HIGH SCH054513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,App GPA,3.852580645
ALLIANCE TENNENBAUM FAMILY TECH HS054527,ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE TENNENBAUM FAMILY TECH HS054527,ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,Adm GPA,
ALLIANCE TENNENBAUM FAMILY TECH HS054527,ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,App GPA,3.67
ALPHA CINDY AVITIA HIGH SCHOOL054869,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,
ALPHA CINDY AVITIA HIGH SCHOOL054869,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,
ALPHA CINDY AVITIA HIGH SCHOOL054869,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.90375
ALTA LOMA HIGH SCHOOL050077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Enrl GPA,
ALTA LOMA HIGH SCHOOL050077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Adm GPA,
ALTA LOMA HIGH SCHOOL050077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,App GPA,3.9575
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Enrl GPA,
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Adm GPA,
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,App GPA,2.89
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Enrl GPA,
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Adm GPA,
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,App GPA,4.14625
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enrl GPA,3.9868
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm GPA,4.062222222
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App GPA,3.968758389
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Enrl GPA,
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm GPA,
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App GPA,3.891818182
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Enrl GPA,
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Adm GPA,4.201428571
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,App GPA,4.019107143
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enrl GPA,4.2065
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm GPA,4.235172414
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,App GPA,4.043928571
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Enrl GPA,
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Adm GPA,
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,App GPA,3.709230769
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Enrl GPA,4.224285714
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm GPA,4.205454545
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App GPA,3.788666667
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Enrl GPA,
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm GPA,4.298
ANALY HIGH SCHOOL053345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App GPA,4.127142857
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.144285714
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,4.144285714
ANDREW P HILL HIGH SCHOOL053077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.9025
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enrl GPA,4.18
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm GPA,4.2
ANGELO RODRIGUEZ HIGH SCHOOL050919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App GPA,4.010101010
ANIMO CTY CHAMPIONS CHARTER HS050396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,Enrl GPA,
ANIMO CTY CHAMPIONS CHARTER HS050396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,Adm GPA,
ANIMO CTY CHAMPIONS CHARTER HS050396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,App GPA,3.665
ANIMO INGLEWOOD CHARTER HS051255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Enrl GPA,
ANIMO INGLEWOOD CHARTER HS051255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Adm GPA,
ANIMO INGLEWOOD CHARTER HS051255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,App GPA,3.7675
ANIMO JACKIE ROBINSON CHRT SCH054199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Enrl GPA,
ANIMO JACKIE ROBINSON CHRT SCH054199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm GPA,4.275
ANIMO JACKIE ROBINSON CHRT SCH054199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,App GPA,3.767142857
ANIMO LEADERSHIP CHARTER HS051257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enrl GPA,4.297777778
