Calculation1,City,County/State/ Territory,Count,gender,School,Pivot Field Values
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Adm,Female,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,App,Female,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Enr,All,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,Adm,All,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF CAREERS AND EXPLORA51123,Helendale,San Bernardino,App,All,ACADEMY OF CAREERS AND EXPLORA,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Enr,Unknown,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Adm,Unknown,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,App,Unknown,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Enr,Other,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Adm,Other,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,App,Other,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Enr,Male,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Adm,Male,ACADEMY OF MEDICAL ARTS AT CARSON,
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,App,Male,ACADEMY OF MEDICAL ARTS AT CARSON,6
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Los Angeles,Enr,Female,ACADEMY OF MEDICAL ARTS AT CARSON,
